CustomerID,Platform,Age,AgeGroup,Gender,Location,AccountAge_Months,SignupDate,PreferredLanguage,SubscriptionType
CUST00001,JioHotstar,36,35-44,Male,Kolkata,17,2022-07-19,Telugu,Basic
CUST00002,JioHotstar,26,25-34,Female,Chennai,31,2021-05-27,Bengali,Premium
CUST00003,Amazon Prime,27,25-34,Male,Mumbai,50,2019-10-30,Malayalam,Standard
CUST00004,Amazon Prime,26,25-34,Male,Chennai,60,2019-01-23,English,Standard
CUST00005,Netflix,20,18-24,Male,Jaipur,15,2022-09-09,Marathi,Premium
CUST00006,Netflix,28,25-34,Male,Ahmedabad,10,2023-02-13,Bengali,Basic
CUST00007,Netflix,32,25-34,Male,Delhi,11,2023-01-23,Tamil,Premium
CUST00008,JioHotstar,18,18-24,Female,Kolkata,53,2019-08-11,Marathi,Basic
CUST00009,SonyLiv,27,25-34,Female,Chennai,11,2023-01-23,Marathi,Premium
CUST00010,SonyLiv,36,35-44,Male,Chennai,39,2020-09-27,English,Basic
CUST00011,JioHotstar,23,18-24,Female,Jaipur,52,2019-09-08,Telugu,Premium
CUST00012,Netflix,46,45-54,Male,Delhi,49,2019-12-14,Hindi,Basic
CUST00013,JioHotstar,26,25-34,Male,Ahmedabad,56,2019-05-24,Kannada,Basic
CUST00014,Netflix,37,35-44,Male,Jaipur,31,2021-05-28,Tamil,Standard
CUST00015,Netflix,27,25-34,Male,Chennai,12,2022-12-27,Kannada,Standard
CUST00016,JioHotstar,18,18-24,Female,Ahmedabad,11,2023-01-19,Telugu,Basic
CUST00017,Netflix,46,45-54,Female,Bangalore,5,2023-07-15,English,Premium
CUST00018,Amazon Prime,24,18-24,Male,Hyderabad,17,2022-08-01,Bengali,Standard
CUST00019,Amazon Prime,32,25-34,Male,Hyderabad,5,2023-07-15,Telugu,Standard
CUST00020,JioHotstar,36,35-44,Female,Bangalore,19,2022-06-09,English,Premium
CUST00021,Netflix,30,25-34,Female,Kolkata,4,2023-09-03,Hindi,Standard
CUST00022,ZEE5,33,25-34,Female,Hyderabad,40,2020-08-27,Gujarati,Basic
CUST00023,SonyLiv,39,35-44,Female,Pune,43,2020-06-09,Tamil,Family
CUST00024,SonyLiv,35,35-44,Female,Chennai,19,2022-06-04,Tamil,Premium
CUST00025,Netflix,26,25-34,Female,Pune,23,2022-01-29,Bengali,Premium
CUST00026,Netflix,29,25-34,Female,Kolkata,3,2023-09-15,English,Standard
CUST00027,Amazon Prime,47,45-54,Female,Chennai,25,2021-11-17,Kannada,Basic
CUST00028,JioHotstar,26,25-34,Female,Chennai,29,2021-07-24,Kannada,Premium
CUST00029,Amazon Prime,28,25-34,Male,Chennai,35,2021-01-20,Malayalam,Premium
CUST00030,JioHotstar,28,25-34,Male,Chennai,11,2023-02-04,Hindi,Basic
CUST00031,Netflix,35,35-44,Female,Mumbai,52,2019-09-17,English,Premium
CUST00032,ZEE5,20,18-24,Female,Ahmedabad,42,2020-06-26,Gujarati,Standard
CUST00033,Amazon Prime,36,35-44,Male,Ahmedabad,6,2023-06-27,Bengali,Basic
CUST00034,JioHotstar,25,25-34,Male,Chennai,57,2019-04-02,Kannada,Standard
CUST00035,SonyLiv,52,45-54,Female,Pune,37,2020-11-25,Gujarati,Premium
CUST00036,ZEE5,42,35-44,Female,Pune,41,2020-08-07,Hindi,Basic
CUST00037,SonyLiv,22,18-24,Female,Kolkata,57,2019-03-29,English,Standard
CUST00038,Netflix,22,18-24,Male,Bangalore,33,2021-04-07,English,Standard
CUST00039,ZEE5,25,25-34,Female,Pune,28,2021-09-11,Telugu,Basic
CUST00040,Netflix,24,18-24,Female,Hyderabad,5,2023-07-14,Gujarati,Standard
CUST00041,ZEE5,35,35-44,Male,Jaipur,53,2019-07-30,Malayalam,Standard
CUST00042,JioHotstar,18,18-24,Male,Mumbai,34,2021-02-23,Marathi,Basic
CUST00043,Netflix,33,25-34,Male,Jaipur,52,2019-09-02,Telugu,Premium
CUST00044,JioHotstar,22,18-24,Male,Jaipur,23,2022-01-24,Marathi,Premium
CUST00045,JioHotstar,21,18-24,Male,Lucknow,52,2019-08-29,Gujarati,Standard
CUST00046,Amazon Prime,40,35-44,Female,Ahmedabad,8,2023-05-06,Hindi,Standard
CUST00047,JioHotstar,20,18-24,Male,Lucknow,21,2022-03-20,English,Family
CUST00048,Amazon Prime,45,45-54,Female,Mumbai,42,2020-07-02,English,Family
CUST00049,Amazon Prime,30,25-34,Male,Kolkata,49,2019-12-16,Bengali,Premium
CUST00050,ZEE5,21,18-24,Female,Delhi,5,2023-08-02,Tamil,Premium
CUST00051,Amazon Prime,18,18-24,Male,Mumbai,30,2021-07-01,Marathi,Standard
CUST00052,Netflix,37,35-44,Female,Ahmedabad,36,2021-01-04,Malayalam,Family
CUST00053,Netflix,35,35-44,Male,Ahmedabad,20,2022-04-21,Kannada,Premium
CUST00054,Amazon Prime,39,35-44,Male,Jaipur,25,2021-11-22,Malayalam,Standard
CUST00055,Netflix,35,35-44,Male,Jaipur,1,2023-11-04,Gujarati,Standard
CUST00056,Netflix,25,25-34,Female,Ahmedabad,17,2022-07-21,Malayalam,Standard
CUST00057,SonyLiv,32,25-34,Male,Mumbai,20,2022-05-02,Bengali,Premium
CUST00058,Amazon Prime,23,18-24,Male,Chennai,40,2020-09-17,Kannada,Basic
CUST00059,Netflix,21,18-24,Female,Bangalore,35,2021-02-07,Marathi,Premium
CUST00060,SonyLiv,18,18-24,Male,Lucknow,48,2020-01-14,Kannada,Standard
CUST00061,ZEE5,27,25-34,Non-Binary,Delhi,30,2021-06-27,English,Premium
CUST00062,Netflix,26,25-34,Female,Lucknow,47,2020-02-05,Tamil,Basic
CUST00063,JioHotstar,25,25-34,Female,Ahmedabad,20,2022-04-22,Gujarati,Basic
CUST00064,SonyLiv,38,35-44,Male,Pune,40,2020-09-17,Marathi,Standard
CUST00065,ZEE5,43,35-44,Female,Kolkata,53,2019-07-28,Telugu,Standard
CUST00066,Amazon Prime,44,35-44,Male,Lucknow,25,2021-11-15,Tamil,Basic
CUST00067,Netflix,31,25-34,Female,Ahmedabad,56,2019-05-26,Bengali,Premium
CUST00068,Netflix,31,25-34,Female,Ahmedabad,26,2021-11-08,Bengali,Standard
CUST00069,JioHotstar,30,25-34,Male,Kolkata,45,2020-04-12,Kannada,Basic
CUST00070,JioHotstar,25,25-34,Female,Pune,41,2020-08-17,Tamil,Premium
CUST00071,Amazon Prime,51,45-54,Non-Binary,Hyderabad,38,2020-11-12,Marathi,Basic
CUST00072,Netflix,21,18-24,Male,Lucknow,15,2022-10-08,English,Premium
CUST00073,Netflix,42,35-44,Male,Mumbai,9,2023-03-08,Hindi,Standard
CUST00074,SonyLiv,29,25-34,Female,Delhi,31,2021-05-21,Gujarati,Basic
CUST00075,JioHotstar,31,25-34,Male,Ahmedabad,6,2023-07-05,English,Standard
CUST00076,JioHotstar,38,35-44,Male,Delhi,59,2019-02-20,Gujarati,Premium
CUST00077,ZEE5,38,35-44,Female,Ahmedabad,5,2023-07-18,English,Premium
CUST00078,Amazon Prime,37,35-44,Female,Pune,60,2019-01-20,Hindi,Family
CUST00079,Netflix,29,25-34,Male,Chennai,56,2019-05-24,Kannada,Premium
CUST00080,ZEE5,33,25-34,Male,Bangalore,60,2019-01-16,Tamil,Standard
CUST00081,Amazon Prime,41,35-44,Male,Lucknow,41,2020-07-29,English,Premium
CUST00082,SonyLiv,30,25-34,Male,Pune,8,2023-04-19,Bengali,Premium
CUST00083,Netflix,30,25-34,Male,Hyderabad,9,2023-04-01,Hindi,Standard
CUST00084,Netflix,19,18-24,Female,Hyderabad,40,2020-09-09,Kannada,Standard
CUST00085,Amazon Prime,37,35-44,Male,Pune,41,2020-08-13,Kannada,Standard
CUST00086,SonyLiv,49,45-54,Male,Bangalore,17,2022-08-06,English,Basic
CUST00087,JioHotstar,18,18-24,Female,Lucknow,23,2022-02-09,Marathi,Basic
CUST00088,Amazon Prime,37,35-44,Female,Delhi,42,2020-06-21,Gujarati,Standard
CUST00089,Netflix,27,25-34,Male,Delhi,56,2019-05-17,Marathi,Family
CUST00090,Amazon Prime,47,45-54,Male,Hyderabad,47,2020-02-11,Hindi,Premium
CUST00091,Netflix,20,18-24,Male,Pune,9,2023-03-13,English,Standard
CUST00092,Netflix,27,25-34,Male,Chennai,24,2022-01-02,Malayalam,Basic
CUST00093,Amazon Prime,18,18-24,Female,Bangalore,41,2020-07-27,Kannada,Basic
CUST00094,Amazon Prime,31,25-34,Male,Ahmedabad,16,2022-08-10,Gujarati,Basic
